AFFX-HUMRGE/M10098_5_at	AFFX-HUMRGE/M10098_M_at	AFFX-HUMRGE/M10098_3_at	AFFX-M27830_5_at	D13639_at	D83735_at	D83920_at	D87433_at	D88270_at	D88422_at	HG987-HT987_at	J03909_at	J04102_at	J04164_at	J04456_at	J04615_at	K01911_at	L19686_rna1_at	L20971_at	M11717_rna1_at	M11722_at	M12759_at	M12886_at	M16279_at	M19507_at	M21005_at	M21624_at	M21904_at	M27891_at	M28826_at	M33882_at	M38591_at	M38690_at	M57710_at	M58459_at	M63573_at	M74719_at	M84526_at	M89957_at	M91036_rna1_at	M91438_at	M92934_at	M94345_at	M96326_rna1_at	U02020_at	U02687_at	U05259_rna1_at	U09770_at	U10485_at	U46499_at	U50743_at	U60644_at	X03934_at	X04500_at	X05908_at	X17042_at	X58529_at	X59871_at	X62744_at	X77737_at	X82240_rna1_at	X95735_at	Z22548_at	Z23090_at	Z69881_at	Z83821_cds2_at	Z84721_cds2_at	L08895_at	M23178_s_at	L33930_s_at	M25079_s_at	M87789_s_at	U05255_s_at	J03077_s_at	M21119_s_at	M34996_s_at	U89922_s_at	M13560_s_at	M16336_s_at	X64072_s_at	M28130_rna1_s_at	Y00787_s_at	M27783_s_at	M26311_s_at	U20734_s_at	M30703_s_at	M57731_s_at	M57466_s_at	M63438_s_at	U23852_s_at	X00437_s_at	X65965_s_at	X76223_s_at	AF000424_s_at	M21305_at	U57341_at	HG3576-HT3779_f_at	U01317_cds4_at	M15395_at	M34516_at	Class
T6	2.89818	2.08636	3.19117	3.18498	2	2.31175	2	2	2	2	2	2	2.91169	2.8451	2.7356	3.42488	2	3.76065	2	2.07188	2.89209	2	3.77873	4.10319	2	2	2.01284	2.91434	2	3.39829	2	2.75128	2	2	3.39322	3.28511	2.10037	2	2	2.44404	2	2	3.40824	2.86747	2.4609	2	2.16732	3.25358	2.65801	2	3.47509	2.3032	3.85546	2	3.32572	3.12808	2	3.44731	2	2	2	2	2.92942	3.06967	3.43838	2	4.02449	2	2.14301	2	4.20412	2	2	3.74803	2.15534	2	3.27393	2	3.29425	2.43457	2.27646	3.10653	2	2.04922	2.26245	2	2	2	2	3.98037	4.20412	2.84696	3.92226	2.59106	2	2.53148	2	2.3784	2.33646	3.01703	T
B6	3.91903	3.62366	3.72843	3.62726	3.18498	3.00043	2	3.30535	2.85248	2.48572	2.91855	2.80072	3.32797	3.66894	3.25672	2.88986	2	3.64128	3.04454	2	3.38614	3.05538	2.78675	3.54962	3.16197	3.34889	2	2	2.02938	2	2.08991	2	3.31027	2.99476	2	2	3.10072	2	2.82995	2	2.61805	2.09691	2.71933	3.11261	2.53656	2	3.39863	2.84448	2	2	2	2	2.59106	3.03181	2.03743	3.72032	3.25575	2.33041	2.93902	2.07555	2.44404	2.61066	2	3.68637	2.46389	2	3.74044	2.16137	2.49554	2	4.13434	2	2	2.8055	2.76567	2.42813	2.31806	3.94606	2.18184	2	3.26834	3.56632	2	3.47407	3.2388	2	2	3.24229	2	2.31806	2	3.21005	2	3.05154	2	2.10037	3.63296	2.0086	2	2.89209	B
B7	2	2	2	2	3.6248	2	2	2	3.87558	2	2.41497	2.89873	3.39829	3.35908	2.60097	3.1934	3.65839	3.48686	3.51508	3.22089	3.99171	2	2.45025	3.39076	2	2	2	2	2	2	2.87852	2	3.80706	2	2	2.92942	3.66633	2	3.45133	2	2	3.50311	2.96426	2.20412	2.38382	3.09167	3.70544	2	3.04218	2	2.0607	2.32222	2.61278	3.51428	2	3.38166	3.86923	2	3.61331	2.28103	3.82308	2.85974	2	3.72493	3.55364	2	3.93283	3.19257	2	3.66652	4.13367	3.52943	2	3.70969	2	3.48671	2.5092	4.20412	2	2.81954	2	2.06446	2	2	2.89265	2	2	3.8304	3.31952	2.62325	2	2.68485	2	2.8451	2.06446	2.22011	4.07536	2.13354	2.83948	3.12222	B
T7	2.95999	2.76567	3.2824	2.79796	2	3.46923	3.13577	2	2	2.51587	2.14301	2.77305	2	4.12483	3.12775	3.27138	2	3.74904	2	2.54033	2.40993	2	4.14857	3.39515	2	3.21854	3.93359	2	2.91381	2	2	3.07882	2	2.58995	3.39058	2	2.11059	2	2	3.15806	2.81023	2	3.38021	2.92324	2.22531	2	2.19033	2.50786	2.19033	2.99388	2.233	2.54531	3.74484	2	3.17114	3.40226	3.15351	3.58917	2	2.35411	2	2.5563	2	3.04336	3.23198	2	4.16391	2	2.12057	2.15229	4.20412	2.78533	2	3.42374	3.21775	2.53148	3.78597	3.47596	2	3.3668	2	2	2	3.42732	2.33244	2	2	2	2.64836	3.69373	4.20412	2.36173	2	3.68842	2	2.78675	2.95182	2.69636	3.40739	2.95521	T
B8	3.83251	3.84173	3.43775	3.44295	2.4133	2.56937	2.11727	2	3.73191	2.10721	3.36097	3.06258	3.23274	3.25212	3.71189	3.21696	3.36455	3.77371	2.36361	2	3.79727	2.06446	2.63649	3.23274	2.52244	2	2.06819	2	2	2	2.41162	2	2.65992	2	2	3.02243	3.19285	2	3.43902	2.32634	2	2.90037	3.4484	2.716	2.28556	3.34282	3.76095	3.09377	3.60991	2	2	2	2.84386	2	2	3.32899	3.89971	2.18469	3.51799	2	4.17061	2.9722	2	3.51322	3.30984	2	2.65896	3.40858	2	3.65437	3.11093	2.95231	2	3.23477	2	3.45454	3.16702	4.15848	2	2.99255	2	2	2	2	2.86094	2	2	3.75876	3.26553	2.99123	2.17898	2.48572	2	2.95999	2	2	3.9697	2	3.25648	2.73719	B
B9	2	2	2	2.09342	3.38346	2	2	2	3.58081	2.12385	3.3681	2.04139	3.05038	3.19618	2.6721	3.23426	2.64836	3.52492	2.70415	2.04922	3.83537	2.43297	3.68224	3.76805	3.55169	2.11059	2	2	2	2	2	2.31806	3.68717	2	3.54419	3.02407	3.21059	2	3.36829	2	2.04922	2.08279	3.19229	2.67943	2.27416	2	3.56217	2.90956	3.51878	2	2.83948	2	2.75664	2.23045	2	3.09061	4.09353	2.96567	2.98767	2	2.90902	2.9284	2	3.266	3.58512	2	3.82769	3.05994	2.02938	3.62097	4.08718	2.31806	2	2.70927	2.14613	2.68842	2.9987	3.98078	2	2.39445	2	2	2.24055	2.1959	2.63649	2	2	2.91855	3.25261	3.10106	2	2.73957	2	2.90255	2.86034	2.35025	3.43489	2.26482	2.90363	2	B
B10	2	2	2	2	3.88366	2	2	2	2	2	2.68305	2	3.18554	3.92376	3.61374	3.28981	2.1959	3.49859	2.18184	3.00689	3.09132	2.69197	3.89938	4.0293	3.15866	2	2	2.78958	2.57403	2	2	2.79934	2	2	3.4853	2	2.85126	2	2	3.02531	3.72428	2	3.20898	2	2.52244	2.75815	2.33846	2	2.44248	3.49234	2	2.92634	3.81305	2	3.32531	3.0607	2.85431	2	2.66181	2	2	2.96661	2	2.83442	3.93339	2.25285	4.06558	3.10209	2.33846	2	4.20412	3.59956	2	3.66642	2.16732	2.45939	3.54045	3.61742	3.32408	3.63829	2	2.45025	2.17319	2	2.53148	2	2	2	3.74764	2.88195	2	3.17289	2	3.38112	2	2.11727	3.44467	2.69108	3.37603	3.24428	B
B11	2.92012	2.96988	2.43616	3.42846	2.72181	3.42127	2	2	2	2	2	3.10958	2	2	3.84354	2.97405	2	3.7614	2	2.26717	2	3.52969	2.98632	2.80754	2.26482	2	2.99211	2	2	2	2	2.45939	2	2.97497	3.32449	2.32222	2.94052	2	2.90309	2.0086	2	2	2.83569	2	2.46687	2	3.52362	2.93852	3.25431	2	2.77305	2	2.58433	2	2	3.09061	3.9636	2.70672	3.61951	2	3.49402	2.59106	2.58546	3.03663	2.04532	2	2	3.03222	2.28103	2	2.3927	3.78547	2	2.07555	2	3.82132	2.54777	4.20412	2	2.73957	2	2.13354	2.25285	2	3.31175	2	2	4.01841	4.1695	2.76268	2	2.33445	2	2	3.50161	2	3.91004	2.04922	2.54654	4.02235	B
B12	2	2	2	2.16137	3.62798	2	2	2	2	2	3.12483	2.61595	3.16673	3.68233	2.16137	2.81757	2.9196	3.23477	3.45924	2.15534	3.8857	2.89818	2.50379	3.96118	2.67943	2.34635	2.23553	2	2	2	2.51983	2.18752	3.66124	2.53529	3.32015	2.66181	3.16791	2	3.27161	3.02531	2	3.25503	2.53148	2	2	2	3.43072	2	2.61909	2	2	2	2.53529	2	2	3.18156	3.42813	2.62839	3.61045	3.6561	3.52401	2.78888	2.03342	3.38292	2.76042	3.13418	4.10278	2.96426	2	3.7602	3.68458	3.041	3.18127	3.33766	2	3.43584	2.65031	4.20412	2	2	2	2	2	2	3.13577	2	2	3.55035	2.49693	2.52634	2	2.78319	2	2.66745	2.04139	3.56996	3.93485	3.70663	2	2.72673	B
B13	2	2	2	2.50243	3.65099	2	2	2	3.04336	2	2.8109	2.23045	2.99957	3.4178	2.27184	3.59284	3.87697	3.90536	3.6744	2.80003	4.03846	2.01284	3.7965	3.03543	2.57864	2.55991	2.26482	2.90849	2.31175	2	3.58535	2.2878	2.96661	2.97772	3.93957	3.60043	3.79204	2	3.79021	4.19432	2.99782	2	2.35218	2	2.53529	2	3.91105	2	2.74194	2	2.40654	2	2.71433	2.92942	2	2.25527	4.05181	2.17898	3.96558	3.29137	4.20412	2.91751	3.18013	3.55084	3.76313	3.76455	3.88762	2.68305	2	4.02144	2	2.98453	3.30016	3.33746	2.18752	4.02719	2	4.20412	3.55558	2	2.38382	2.07555	2.36549	2.30535	3.3707	2.33041	2.28103	3.89735	2.75511	2.9284	2	3.30428	2	2	3.21985	3.40175	4.04524	3.9195	2.03743	2.94596	B
B14	2	2	2	2	2	2.93852	2	2	3.97557	2.10037	3.48629	2	2	3.78576	2	3.78176	2.08636	2.98856	2	3.27554	3.26245	2.08991	2.55145	2.85003	2	2	2	2	2	2	2	2	3.5392	2	3.52866	2	3.38863	2	2	2	2.6721	2	2	2.53529	2.55871	2	3.44793	2.75891	3.25648	2	2.56467	2	2.53275	2	2	3.28149	3.49052	2.18469	2.25042	2.05308	3.02531	2	2.28556	3.24601	2	2.36922	3.44871	2	2.15534	3.43169	4.0114	2	2	2.91062	2	2.86923	2	3.7963	2	2	2.26482	2.07188	2.19312	2	2.19866	2.04532	2	2.26482	2	3.42586	2	3.11025	2	2	3.58218	2.549	3.03302	2.2878	2.43616	4.09767	B
B15	4.20412	4.12646	4.00307	3.8761	2	2	2	2	3.63629	2	2.66181	2.12385	2.3032	2	2.25285	3.13386	3.2584	2.78746	2.37658	2	2.34044	2	2	2	2	2	2	2	2	2	2.71349	2	3.43345	2	3.18837	2	3.95177	2	2.59879	3.17551	2	2.24797	2.12385	2.83123	2.30535	2	3.73215	2.55267	3.19673	2	2.48144	2	2.39445	2.76042	2	2.549	3.90993	2.12385	3.51627	2.63448	3.51627	2.08636	2	2	3.21165	2.64738	4.20412	2.76938	2	3.10209	4.20412	2.11059	2	2.80821	2	3.662	2	4.1344	2	2	2.19033	2.31387	2.13672	2.26482	2.89098	2	2	3.80875	2	2.78817	2	3.10346	2	2	2.59988	3.02816	3.53479	2.56467	2	2.84136	B
T8	4.20412	4.20412	3.76975	3.87233	2.1038	2	2.21219	2	2	2	2	2	2	3.60606	2.4456	3.08743	2	3.63417	2	2	2.90687	2	3.5904	3.81704	2	2.74507	2	2	2.62839	3.81842	2	2.59439	2	2	3.39217	2	2.38917	2	2	2.47422	2	2	2.88024	3.07078	2	2	2.93952	2.65992	2.79449	2	3.15351	2	3.83245	2	2	2.25042	2.02531	3.30233	2	2	2	2	2.76716	2.90363	3.2927	2	3.50297	2	2.17026	2	3.99896	2	2	3.46731	2.32634	2	2.20683	2	2.89982	2.50379	2.17026	2.16435	2	2.69636	2	2	2	2	2	3.70552	4.20412	2.58092	3.89104	2	2	2	2	2.16435	2.45179	2.22789	T
B16	2	2	2	2.38917	2.47129	2	2	2	3.61384	2.24797	3.64197	2.70157	3.07408	2	3.87535	3.3438	2.96567	3.4178	2	2.90255	3.21165	2	2.14301	3.34459	2	2.19312	2	2	2	2	2	2.57634	2.68931	2	3.34713	2.35025	2.82866	2	3.21801	2.30103	3.04179	3.81578	3.61627	2.8657	2	3.62685	3.77488	2.94201	3.4961	2	2	2.49554	2.56467	2	2.08279	3.22712	3.93237	2	3.20003	2	3.5437	2.34635	2	3.14426	3.11594	2	3.64953	3.50365	2.08636	2.94349	3.86303	2	2	2	2.25042	2.8169	2	4.04096	2	2.45939	2	2.26717	2	2	2.64048	2	2	2.86273	2	2.59439	2	2	2	2	2.21219	2.11727	3.43727	2.21219	2.55751	2	B
B17	3.69531	3.42586	3.63317	3.95832	3.36078	3.17926	2	3.54998	3.70919	2	2.86094	2.52504	3.35276	4.14389	2.25285	3.11528	2.34635	3.43743	3.19089	3.86593	3.4456	3.82243	3.41027	3.91148	2.13033	2	2.08279	3.04218	2	2	3.8221	2	3.43136	2.74819	3.64709	2	3.2492	2	2.86153	4.08728	2.95521	3.12123	3.03663	2.7007	2.29885	2.79657	3.70501	2.08636	2.29003	2	2	2.46538	2.71767	3.1452	2	3.56949	3.29798	2.53656	3.10789	3.36436	3.38202	2.8451	2.80754	4.20412	2.95036	3.3518	4.16286	2.85248	3.92773	2.54283	3.54307	2.21748	2.95085	3.34104	2	2.92891	2.90363	4.11846	2	2	3.63053	3.96708	2	2	3.10551	2	3.01368	3.16673	2.35411	2.48287	2	3.17955	2	3.19451	2.07555	3.37548	3.51388	3.72852	2	2.8704	B
B18	2	2	2	2.50786	3.76827	2	2	2	3.88081	2	2.57749	2.74115	2.09342	3.65763	2.38739	3.16316	2.57403	3.56205	3.05192	2.41996	3.73679	2.72428	2.53403	3.90445	2.29226	2.60206	2	2	2	2	2	2	3.6878	2	2	2.90956	3.40603	2	3.58399	2.70415	2.27416	2.33244	2.98543	2	2	2	3.91482	3.14051	2.38561	2	2	2	2.617	2.35603	2	3.24304	4.1625	2.32428	3.41179	2.50379	4.02469	2.63649	2	3.6637	3.38952	2.14301	4.12307	3.13258	2.13354	3.67624	4.20412	2.79169	2	3.43489	2	3.42635	4.01085	4.14968	2	2.32015	2	2.26245	2	2	3.55546	2	2.17609	3.5966	2.77887	2.69984	2	2.9345	2	3.49554	3.78647	2.82802	3.70612	2.99476	2.47857	2.7356	B
B19	3.90053	3.60249	3.41229	3.67034	2.51851	2	2	2	3.57749	2.13672	2.89597	2	2	2	2.04532	3.10175	2	2.93551	2.38382	2.32634	3.39707	3.65839	2	2	2	2	2.29003	2.44871	2	2	2.42651	2.91855	3.03423	2	2.01703	2	2.60853	2	2.75051	2.15229	2	2.11727	2	2.24551	2.0607	2	3.62159	2	3.30899	2.0569	2	2	2.79865	2.00432	2	2.46389	3.96066	2	2.93702	2	3.88041	2	2	2	2.88081	2	3.99808	2	2.29003	3.08314	4.20412	2	2	2	2	2.72181	2	3.88309	2.14301	2	2	2.17609	2.18752	2	2.67117	2	2.14301	2	2.51983	3.06521	2	2.17609	2	2	2.91855	2.29003	2.90849	2	2	3.42374	B
AML1	2.70243	2	2.0569	2.74896	2.90956	3.04727	2	3.34792	2.0569	2.86213	3.39146	2.83569	2.74819	2.42975	3.67852	2.03342	2	3.48841	2.13988	2.26007	2.65706	2.35218	2.98677	3.30899	3.84261	2.617	2	2	3.18667	2	2	2.65031	2.08279	2.5955	2	2	2.72591	3.68395	2	2.90687	3.68565	2	3.12123	4.12917	2.78247	2.55388	2.85187	2.83123	2.31175	3.33021	2.5563	2.89432	2.6981	2	3.25479	3.93034	2.74351	2	2.97313	2	2	3.46938	2	2.6464	2.89432	2	4.00342	2	2.16732	2	4.20412	4.09715	2	3.3742	2.3927	2.2014	2	3.82569	2	3.39898	3.56738	3.90601	3.24279	2.52375	3.18667	2	3.00945	2	4.19388	2.77525	2	2.67117	2.20683	2.83696	2.78888	2.65514	3.12516	2.21484	3.48586	3.88258	M
AML2	3.33666	3.24353	2.95617	3.2388	2.83569	2.84448	2	2.4216	2	2.93095	3.33766	2.17319	2	3.60054	3.04844	2	2	2.7574	2	2	2	2.18469	2.83378	3.20058	4.19841	2	2	2	3.17056	2	2	2	2	2	2	2	2.29447	2	2	4.06172	2.72673	2.22531	3.11093	3.09096	2	2	2.81558	2	2	3.07372	2.3483	2.50379	2.57864	2	2.53529	3.55967	2.35793	2.13672	3.37401	3.2824	2	3.02119	2.68574	2	2.60853	2.98945	4.20412	2.05308	2	2	4.20412	3.28081	3.24304	3.24353	2.33445	3.19173	2	4.07965	2	3.08672	2	2.33445	2.33445	2	2.1038	2.54531	2	3.52153	3.29907	2.4843	2	2.4624	2	2.70243	2.69897	3.37658	3.69758	3.78972	2.8651	2.77159	M
AML3	2.76343	2.11394	2	2.85612	2.24551	2.49831	3.7673	3.17231	2	3.85181	3.40175	3.78725	3.16465	2	4.126	2.69897	2	3.34459	2.91116	2.35603	2.65801	2.45025	2	3.22298	3.30211	4.02572	2.09691	3.19535	4.20412	2	2.24055	3.60821	2	3.77379	3.31931	2.94201	2.00432	3.6602	2	2.89321	2	2.46687	3.5479	3.90064	3.78979	2.5832	2	3.00043	2.34635	3.31091	2.25042	3.90531	2.61278	4.20412	3.5885	4.02543	2.3784	2	3.23249	2.28103	2	3.6869	2	3.23553	2.07188	2	3.97987	2	4.1486	2	4.20412	4.14	2	4.20412	4.20412	2.44716	2	4.20412	2	3.89675	4.06134	4.20412	2.56937	4.20412	3.93892	2	3.7732	2.83378	4.18446	2.56467	2	4.20412	2	3.41044	2.54407	2.45788	3.8728	2.89042	3.83014	4.04801	M
